target_no2,temperature,pct_11240,pct_12100,pct_21000,pct_23000,pct_50000,pct_11100,pct_11220,pct_11230,pct_12220,pct_13300,pct_13400,pct_14100,pct_14200,pct_11210,pct_12230,pct_31000,pct_11300,pct_32000,pct_12210,pct_24000,pct_12400,pct_13100,pct_40000,pct_33000
10.121178,21.72,0.0,0.55,0.0,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.07,0.0,0.0,0.0,89.16,0.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.93327,21.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.44,0.0,0.0,0.0,92.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.821057,21.72,0.0,12.67,15.34,0.0,0.0,10.93,0.0,0.0,0.0,0.0,0.0,2.11,0.0,0.0,0.0,58.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.821057,21.72,0.0,6.52,0.0,0.0,0.0,6.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.821057,21.72,1.29,0.0,0.0,0.0,0.0,10.38,0.0,0.0,0.0,0.0,1.19,0.73,0.0,0.83,0.0,85.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.821057,21.72,0.0,0.73,0.0,0.55,0.0,20.48,0.0,0.0,0.09,0.0,0.83,0.0,0.0,0.73,0.0,75.94,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.821057,21.72,1.56,0.55,1.65,25.25,0.0,35.35,1.1,0.46,0.0,4.87,3.49,1.29,0.0,7.71,0.0,16.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.821057,21.72,0.0,0.0,27.55,72.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.821057,21.72,0.0,0.0,0.0,97.8,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.821057,21.72,0.0,3.31,10.19,67.77,0.0,0.0,0.0,0.0,4.41,0.0,0.0,0.0,0.0,0.0,0.0,5.51,0.0,2.02,6.8,0.0,0.0,0.0,0.0,0.0
7.821057,21.72,0.0,40.13,2.57,26.81,0.0,0.0,0.0,0.0,3.67,0.0,0.55,0.0,0.73,0.0,0.0,17.45,0.0,8.08,0.0,0.0,0.0,0.0,0.0,0.0
7.821057,21.72,0.0,27.73,4.59,38.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,0.64,7.99,0.0,0.0,0.0,0.0,0.0,0.0
7.398912,21.72,0.0,4.68,7.16,2.39,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.269406,21.72,0.0,0.0,76.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.269406,21.72,0.0,0.0,78.15,21.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.08063,21.467,2.75,1.56,12.67,9.09,1.56,54.55,1.74,9.83,0.83,0.0,1.01,0.0,0.0,4.32,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.08063,21.581,6.7,4.13,12.49,4.41,10.1,10.93,7.99,10.74,1.74,0.0,0.0,2.75,0.0,28.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.08063,21.72,1.01,1.01,26.91,0.64,6.24,17.81,2.02,1.56,0.46,0.0,1.93,0.55,0.0,6.24,0.0,30.85,0.0,2.75,0.0,0.0,0.0,0.0,0.0,0.0
9.872329,21.72,0.0,0.0,14.6,12.95,19.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.64,50.23,1.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.121178,21.72,2.02,10.38,8.08,3.95,0.0,30.49,0.0,0.0,0.18,0.0,2.39,12.12,0.0,10.28,0.09,13.59,0.0,0.0,0.0,6.43,0.0,0.0,0.0,0.0
10.121178,21.72,0.0,6.24,19.01,0.0,0.0,71.9,2.2,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.121178,21.72,0.0,0.73,60.61,0.0,1.19,18.0,0.0,0.0,0.0,0.0,0.0,19.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.121178,21.72,0.0,0.0,98.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.121178,21.72,0.0,0.0,87.05,2.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.55,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.121178,21.72,0.0,0.0,23.32,5.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.121178,21.72,0.0,8.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,90.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.121178,21.72,0.0,16.53,16.99,0.0,0.0,10.1,0.64,0.0,0.46,0.0,0.0,0.0,6.7,5.23,0.0,43.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.121178,21.72,0.0,44.08,30.95,2.66,0.0,0.0,0.0,0.0,3.49,0.0,2.66,0.0,5.97,0.0,0.0,10.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.121178,21.72,0.0,16.9,59.32,1.84,0.0,11.57,0.0,0.0,0.92,0.0,0.0,1.65,0.0,1.74,0.0,6.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.93327,21.72,0.0,0.0,56.01,0.0,0.0,7.44,6.7,0.0,0.0,0.0,2.3,4.68,0.0,2.11,0.0,17.45,0.0,3.31,0.0,0.0,0.0,0.0,0.0,0.0
